Normal,about:home
Whatsapp,https://web.whatsapp.com
YouTube,https://youtube.com
LinkedIn,https://linkedin.com
GitHub,https://github.com/ShivangSrivastava
GitHub Repo,https://github.com/ShivangSrivastava?tab=repositories
Youtube Music,https://music.youtube.com
GMail,https://mail.google.com
ChatGPT,https://chatgpt.com
Google Docs,https://docs.google.com/document/u/0/
Google Sheets,https://docs.google.com/spreadsheets/u/0/
Telegram,https://web.telegram.org/a/
Leetcode,https://leetcode.com/u/ShivangSrivastava/
GeeksForGeeks,https://www.geeksforgeeks.org/user/shivangsriv8cuh/
takeuforward,https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/
calendar,https://calendar.google.com/calendar/u/0/r
progress,https://docs.google.com/spreadsheets/d/1HOg2Hr5sgdk0t4c5cp5PvQ-b5uKv_yy3T9B3B2cOSIo/edit?gid=1030140189#gid=1030140189
chatgpt-temp,https://chatgpt.com/?temporary-chat=true
team,https://teams.live.com/v2
claude,https://claude.ai
